League,Season,NumTeams
Bundesliga,2009-10,18
Bundesliga,2010-11,18
Bundesliga,2011-12,18
Bundesliga,2012-13,18
Bundesliga,2013-14,18
Bundesliga,2014-15,18
Bundesliga,2015-16,18
Bundesliga,2016-17,18
Bundesliga,2017-18,18
Bundesliga,2018-19,18
EPL,2009-10,20
EPL,2010-11,20
EPL,2011-12,20
EPL,2012-13,20
EPL,2013-14,20
EPL,2014-15,20
EPL,2015-16,20
EPL,2016-17,20
EPL,2017-18,20
EPL,2018-19,20
La Liga,2009-10,20
La Liga,2010-11,20
La Liga,2011-12,20
La Liga,2012-13,20
La Liga,2013-14,20
La Liga,2014-15,20
La Liga,2015-16,20
La Liga,2016-17,20
La Liga,2017-18,20
La Liga,2018-19,20
Ligue 1,2009-10,20
Ligue 1,2010-11,20
Ligue 1,2011-12,20
Ligue 1,2012-13,20
Ligue 1,2013-14,20
Ligue 1,2014-15,20
Ligue 1,2015-16,20
Ligue 1,2016-17,20
Ligue 1,2017-18,20
Ligue 1,2018-19,20
Serie A,2009-10,20
Serie A,2010-11,20
Serie A,2011-12,20
Serie A,2012-13,20
Serie A,2013-14,20
Serie A,2014-15,20
Serie A,2015-16,20
Serie A,2016-17,20
Serie A,2017-18,20
Serie A,2018-19,20
