League,Season,NumMatches
Bundesliga,2009-10,306
Bundesliga,2010-11,306
Bundesliga,2011-12,306
Bundesliga,2012-13,306
Bundesliga,2013-14,306
Bundesliga,2014-15,306
Bundesliga,2015-16,306
Bundesliga,2016-17,306
Bundesliga,2017-18,306
Bundesliga,2018-19,306
Bundesliga,2019-20,306
Bundesliga,2020-21,260
EPL,2009-10,380
EPL,2010-11,380
EPL,2011-12,380
EPL,2012-13,380
EPL,2013-14,380
EPL,2014-15,380
EPL,2015-16,380
EPL,2016-17,380
EPL,2017-18,380
EPL,2018-19,380
EPL,2019-20,380
EPL,2020-21,315
La Liga,2009-10,380
La Liga,2010-11,380
La Liga,2011-12,380
La Liga,2012-13,380
La Liga,2013-14,380
La Liga,2014-15,380
La Liga,2015-16,380
La Liga,2016-17,380
La Liga,2017-18,380
La Liga,2018-19,380
La Liga,2019-20,380
La Liga,2020-21,304
Ligue 1,2009-10,380
Ligue 1,2010-11,380
Ligue 1,2011-12,380
Ligue 1,2012-13,380
Ligue 1,2013-14,380
Ligue 1,2014-15,380
Ligue 1,2015-16,380
Ligue 1,2016-17,380
Ligue 1,2017-18,380
Ligue 1,2018-19,380
Ligue 1,2019-20,279
Ligue 1,2020-21,329
Serie A,2009-10,380
Serie A,2010-11,380
Serie A,2011-12,380
Serie A,2012-13,380
Serie A,2013-14,380
Serie A,2014-15,380
Serie A,2015-16,380
Serie A,2016-17,380
Serie A,2017-18,380
Serie A,2018-19,380
Serie A,2019-20,380
Serie A,2020-21,307
